stop_id,stop_city
14001303,Taupo
14007854,Hamilton
14001015,Hamilton
14008130,Hamilton
14004394,Hamilton
14007966,Hamilton
14007635,Hamilton
14001224,Hamilton City
14008957,Pokeno
14001464,Hamilton
14004265,Hamilton City
14008692,Hamilton
14002162,Hamilton
14007023,Hamilton
14003567,Hamilton
14001220,Cambridge
14001201,Hamilton
14007624,Hamilton
14002485,Hamilton
14007041,Huntly
14001191,Hamilton
14002383,Hamilton
14002093,Hamilton
14001659,Hamilton
14001663,Hamilton
14001954,Hamilton
14007622,Taupo
14004427,Hamilton
14008148,Hamilton
14008127,Hamilton
14003954,Hamilton
14006427,Hamilton
14008138,Pokeno
14008063,Tokoroa
14006037,Taupo
14004990,Te Kuiti
14001392,Cambridge
14001333,Hamilton
14003290,Hamilton
14006671,Hamilton
14001440,Hamilton
14007987,Springfield
14008654,Hamilton
14001564,Hamilton
14006793,Taupiri
14001813,Hamilton
14006809,Springfield
14001338,Hamilton
14008985,Hamilton
14007768,Hamilton
14005087,Hamilton
14008031,Thames
14002790,Thames
14003393,Hamilton
14008996,Franklin
14005484,Ōtara-Papatoetoe
14003845,Hamilton
14001477,Hamilton
14006071,Hamilton
14001741,Hamilton
14006274,Taupo
14001043,Hamilton
14004589,Hamilton City
14001648,Hamilton
14004925,Hamilton
14002444,Hamilton
14005299,Hamilton
14002381,Hamilton
14001839,Henderson-Massey
14004915,Taupo
14005630,Springfield
14001187,Hamilton
14004866,Pokeno
14006046,Hamilton
14005706,Thames
14002566,Hamilton
14002137,Springfield
14001414,Hamilton
14006852,Hamilton
14003936,Cambridge
14002057,Springfield
14002184,Pokeno
14008221,Hamilton
14004191,Springfield
14005482,Hamilton
14004264,Hamilton
14006525,Hamilton
14006157,Taupo
14008174,Whatawhata
14001821,Hamilton
14001774,Te Kauwhata
14002236,Hamilton
14008060,Tuakau
14006338,Hamilton City
14008226,Springfield
14008483,Hamilton
14002180,Hamilton
14004924,Hamilton
14006705,Hamilton
14007749,Hamilton
14006647,Hamilton City
14004308,Hamilton
14004697,Thames
14006662,Hamilton
14001375,Tuakau
14006504,Hamilton
14003351,Hamilton
14005709,Hamilton
14008249,Mangakino
14006977,Hamilton
14002245,Cambridge
14006211,Hamilton
14007360,Hamilton
14006064,Hamilton
14001652,Springfield
14006593,Hamilton
14004198,Hamilton
14001487,Hamilton
14004765,Pokeno
14002125,Hamilton
14005373,Cambridge
14007877,Hamilton
14002135,Hamilton
14007466,Cambridge
14008581,Hamilton
14002669,Hamilton
14007555,Hamilton
14005376,Hamilton
14008265,Hamilton
14003464,Hamilton
14006206,Hamilton
14004329,Hamilton
14007588,Hamilton
14007025,Taupo
14007357,Huntly
14003976,Hamilton
14002769,Hamilton
14001185,Hamilton
14002522,Hamilton
14006742,Hamilton
14007779,Hamilton
14005389,Tokoroa
14001020,Hamilton
14003860,Hamilton
14003925,Hamilton
14003991,Cambridge
14001055,Morrinsville
14002593,Hamilton
14001223,Putaruru
14001962,Hamilton
14001834,Springfield
14001793,Springfield
14004101,Hamilton
14001744,Hamilton
14001336,Springfield
14007671,Hamilton
14008883,Hamilton
14005456,Whatawhata
14006347,Hamilton
14001819,Tokoroa
14003659,Horotiu
14002564,Hamilton
14001413,Wairakei
14001959,Franklin
14007695,Wharewaka
14004891,Hamilton
14008670,Hamilton
14001483,Thames
14003958,Hamilton
14001930,Hamilton
14006933,Hamilton
14006034,Hamilton
14006405,Hamilton
14002480,Hamilton
14007688,Hamilton
14005451,Springfield
14008032,Wharewaka
14006562,Hamilton
14003649,Hamilton
14003933,Hamilton
14003832,Thames
14002166,Hamilton
14007116,Hamilton
14001395,Hamilton
14001556,Hamilton
14003914,Hamilton
14008683,Hamilton
14002889,Springfield
14008427,Thames
14002075,Hamilton
14008587,Thames
14002530,Hamilton
14002439,Hamilton
14003709,Matamata
14006804,Hamilton
14005083,Hamilton
14001135,Hamilton
14003764,Tirau
14004189,Hamilton
14001541,Hamilton
14005066,Hamilton
14006478,Hamilton
14001607,Raglan
14001666,Ngaruawahia
14004202,Hamilton
14003181,Hamilton
14002957,Te Rapa
14004037,Franklin
14003562,Hamilton
14008576,Hamilton
14005640,Mystery Creek
14005591,Hamilton
14001573,Hamilton
14004414,Hamilton
14003985,Hamilton
14001200,Hamilton
14002069,Morrinsville
14001101,Springfield
14006414,Springfield
14008114,Hamilton
14003579,Tokoroa
14007121,Hamilton
14008888,Hamilton
14005613,Hamilton
14004258,Tamahere
14008449,Hamilton
14001203,Springfield
14008311,Hamilton
14007551,Hamilton
14008778,Hamilton
14008010,Hamilton
14003802,Otorohanga
14001430,Hamilton
14008410,Hamilton
14001662,Cambridge
14002420,Hamilton
14004872,Hamilton City
14005704,Hamilton
14006481,Hamilton
14006310,Mystery Creek
14006847,Cambridge
14008693,Hamilton
14002501,Hamilton
14003644,Hamilton
14006236,Franklin
14004176,Tamahere
14008329,Onewhero
14004233,Hamilton
14005180,Hamilton
14004237,Mangakino
14008207,Pokeno
14007043,Hamilton
14002254,Lichfield
14002601,Hamilton
14001972,Hamilton
14006460,Tokoroa
14004093,Thames
14003078,Hamilton
14008006,Hamilton
14005726,Cambridge
14005599,Hamilton
14005559,Hamilton
14002336,Hamilton
14003814,Taupo
14007118,Hamilton
14007915,Hamilton
14001221,Hamilton
14006788,Hamilton
14003698,Hamilton
14002682,Hamilton
14002681,Hamilton
14006952,Hamilton
14006475,Hamilton
14007872,Hamilton
14001453,Raglan
14003379,Morrinsville
14002487,Huntly
14002177,Hamilton
14007471,Mangakino
14002952,Cambridge
14002116,Springfield
14003705,Newstead
14003270,Hamilton
14001393,Hamilton
14001125,Hamilton
14003722,Hamilton
14005644,Tuakau
14008370,Taupo
14004876,Hamilton
14005452,Hamilton
14005064,Hamilton
14008002,Huntly
14002373,Hamilton
14008671,Cambridge
14002520,Hamilton
14006520,Thames
14003734,Hamilton
14003251,Hamilton
14001432,Huntly
14008470,Waitetuna
14003906,Hamilton
14006077,Cambridge
14004852,Cambridge
14001281,Franklin
14002462,Hamilton
14006092,Hamilton
14007115,Thames
14008665,Thames
14004350,Tokoroa
14006149,Thames
14008302,Hamilton
14004296,Raglan
14002293,Hamilton
14007965,Hamilton
14003482,Waitetuna
14003684,Hamilton
14002036,Hamilton
14004863,Taupo
14006891,Hamilton
14001857,Tokoroa
14006604,Hamilton
14002691,Hamilton
14008574,Cambridge
14001398,Hamilton
14003757,Hamilton
14001327,Hamilton
14008042,Hamilton
14001492,Taupo
14006693,Hamilton
14002489,Hamilton
14005283,Hamilton
14001300,Springfield
14007684,Tokoroa
14008882,Hamilton
14001290,Ngaruawahia
14007598,Springfield
14007874,Huntly
14005748,Tuakau
14002765,Hamilton
14002040,Hamilton
14008351,Ngaruawahia
14004017,Hamilton
14008187,Hamilton
14008413,Hamilton
14001501,Taupiri
14001523,Hamilton
14001339,Hamilton
14003063,Hamilton
14001098,Hamilton
14007007,Huntly
14006402,Hamilton
14007561,Hamilton
14004159,Hamilton
14006881,Hamilton
14005173,Hamilton
14008880,Hamilton
14006910,Tuakau
14008982,Hamilton
14008343,Tuakau
14001344,Hamilton
14006640,Pokeno
14007886,Hamilton
14008789,Newstead
14008461,Hamilton
14006105,Morrinsville
14005994,Hamilton
14007931,Hamilton
