,Route,Day of Week,Trip Hour,Trip Count,Mean Running Time,Total Actual In-Service KM,Total Passenger KM,Mean Speed,Mean Occupancy,Total CO2 Emissions,Total emissions $value,Total emissions savings
1385,21,Wednesday,06:00,219,820.527397260274,1152.7418385700937,2454.807996660933,23.615452409553463,2.106998398145599,945372.9388189889,82.24744567725205,43.53507566385986
1386,21,Wednesday,07:00,522,1040.4843941229462,3101.0358369688324,18207.897066011803,19.292316729772423,5.029020857526616,2908778.2834920757,253.06371066381055,322.9100514283862
1387,21,Wednesday,08:00,740,1057.6048312418175,3815.1325751697527,29669.229210968177,17.19369399478257,7.387743454975333,2240511.00780171,194.92445767874878,526.1723688145164
1388,21,Wednesday,09:00,935,802.9308171280774,3677.618857086642,23937.556738841526,18.084134619290506,6.630956614815397,2835774.21069865,246.71235633078254,424.52336201076264
1389,21,Wednesday,10:00,745,879.6550824479126,2971.2793320706573,17217.957348943164,19.15436370410417,5.709923542084895,2302046.396851271,200.27803652606056,305.353851292219
1390,21,Wednesday,11:00,697,871.6593899924463,2610.414475426707,15774.226356401114,18.028662285221813,5.734729255620521,2291771.9134488045,199.38415647004598,279.7498374206367
1391,21,Wednesday,12:00,673,930.2611888954066,2721.0604232921737,15375.400399130922,18.47786156926197,5.262344593345454,2398068.5175955566,208.63196103081341,272.6768124630488
1392,21,Wednesday,13:00,823,878.2771689497717,3011.67161379377,16038.273325536993,18.589651545166188,4.603406013536953,2468176.20850151,214.73133013963135,284.43260886173493
1393,21,Wednesday,14:00,823,871.8898401826483,2957.6819410311145,16389.287651120907,18.80343802112863,4.885735048406062,2109335.511442227,183.51218949547373,290.65771292045577
1394,21,Wednesday,15:00,824,901.4811351018087,3330.2396071135418,20979.23271669321,18.314044099522608,4.4896950598680565,2775285.329061252,241.44982362832894,372.0586232948937
1395,21,Wednesday,16:00,575,1013.7181439793083,2683.7060790879136,17315.23795730357,16.678859920040377,5.1932897487206375,2261349.0425871154,196.73736670507904,307.07908546587214
1396,21,Wednesday,17:00,473,1130.878874674516,1926.7951396668968,13843.660105398358,16.372583111679035,5.428714395640379,1773746.831370381,154.31597432922314,245.51198748458395
1397,21,Wednesday,18:00,244,1245.162400945434,1689.988280721903,9798.771126989335,19.570197716497347,5.467609018165503,761208.2278923979,66.22511582663861,173.7774371790301
1398,21,Wednesday,19:00,244,1200.6232513279283,1893.841,6816.4130000000005,21.981243768025976,3.3512589560320505,761693.7442379099,66.26735574869817,120.88646285769232
1399,21,Wednesday,20:00,200,1220.6259714844844,1551.5819999999999,5260.352000000001,22.201843753936018,3.368508863603824,568141.9115071738,49.42834630112412,93.29031950769232
1400,21,Wednesday,21:00,156,1276.7409202669476,1193.955,4911.91,21.189208032410317,4.63925106938967,249930.61791071756,21.743963758232425,87.11083465384615
1401,21,Wednesday,22:00,156,1252.4752487999062,1209.513,3609.6739999999995,22.198260167959152,2.9549715716200655,354119.1332564103,30.808364593307697,64.01618005384616
1402,21,Wednesday,23:00,156,1027.4446551926003,1138.074,1886.7859999999998,24.147317961981347,1.639701328571704,413699.2411586509,35.99183398080263,33.46142402307692
1403,22,Friday,06:00,210,1009.9095238095239,1477.6706856634407,6204.351877341184,23.569989297892906,4.32904460733608,633229.3543714659,55.09095383031753,110.03179425546232
1404,22,Friday,07:00,710,742.1771428571428,3164.5444851597576,35816.71660473732,19.77314085759732,8.51906663363835,1524375.5573844684,132.62067349244876,635.1956933247837
1405,22,Friday,08:00,1388,848.0170542189479,6303.210417468386,72644.61217549347,18.556665571238643,10.275525854040481,4221434.229909934,367.26477800216423,1288.324256696925
1406,22,Friday,09:00,1048,881.6491901327838,5374.852640728179,33111.35982672134,20.05722308576369,6.179859455778092,3838233.7084114365,333.926332631795,587.217231388508
1407,22,Friday,10:00,1076,768.3135063786789,5648.289637722832,28902.15912846295,20.867496552518777,4.732254292529082,4303481.227707241,374.40286681052993,512.568675928241
1408,22,Friday,11:00,936,903.7126190476191,5270.872035544306,28956.43244185557,21.05351594775534,4.755454327353513,3924014.2965065227,341.3892437960675,513.5311922669079
1409,22,Friday,12:00,880,942.261619047619,5381.301981501226,31377.80702552406,20.53266510263227,5.052082469012185,3429693.7900493713,298.3833597342953,556.4733392103517
1410,22,Friday,13:00,964,858.4100744047619,5404.280006123784,31667.847758251075,20.91330972908405,5.232967109219427,2950401.158441904,256.68490078444563,561.6171000511373
1411,22,Friday,14:00,936,905.8154126984126,5353.965583331165,34531.29084533554,19.542162688035056,5.622458952083593,4094740.0202537235,356.242381762074,612.399161876316
1412,22,Friday,15:00,866,1009.4719196428572,5431.335173416042,48158.3525786679,18.3788670119222,6.7501249339100236,3892987.7168447236,338.6899313654909,854.0698605393758
1413,22,Friday,16:00,796,909.7253117770388,4324.37797901898,35690.50526479516,17.986825376415467,8.196988896304733,2500446.754541817,217.5388676451381,632.9573837537326
