,Vehicle Number,Vehicle Type,Vehicle Emissions Standard,Vehicle Registration Number,TARE Weight (KG),Total Trips,Routes,Service Types,Total Running Time,Total In-Service KM,Total Passenger KM,Cancelled Trips Count,Average Speed,Average Occupancy,"Total CO2 Emissions, KG","Total Emissions Value, $","Total Emissions Savings, $",Emissions per VKT
25,2208,LV,EURO5,FGT327,12190.0,1784,"3, 12, 21, 22, 35, 37, 83, 744, 13, 14, 34, 18, 719, 33, 764, 612, 739, 617, 619, 84, 737, 754, 888, 784, 760, 81, 886, 36, 615, 736, 712, 740, 2, 711, 791, 614, 887, 745, 743, 761, 762","Public Bus, School Bus",3389630,20572.479,254482.292,4,21.17664913421651,10.972921949945427,20730.883109324066,1803.586830511194,2709.558740304191,1.007699806587435
26,2209,LV,EURO5,FGT328,12190.0,1802,"3, 83, 84, 888, 14, 21, 22, 33, 37, 615, 12, 18, 704, 736, 34, 2, 81, 784, 36, 745, 722, 737, 621, 13, 35, 711, 740, 612, 739, 611, 717, 619, 755, 712, 760, 886, 744, 754, 617, 742, 764, 741","Public Bus, School Bus",3628142,20810.968,255544.3,0,20.36115153389611,11.505348276268718,21587.05424953818,1878.073719709822,2653.9061545209474,1.0372921744696442
27,2210,LV,EURO5,FGT339,12190.0,1852,"21, 22, 33, 34, 611, 18, 612, 35, 737, 739, 37, 83, 12, 13, 14, 84, 36, 3, 2, 740, 744, 619, 736, 616, 621, 888, 712, 722, 755, 754, 667, 761, 711, 717, 81, 758, 886, 615, 791, 887, 704, 617, 764, 741","Public Bus, School Bus",3602795,20910.254,249966.409,0,20.195511213409198,11.400918476193523,21519.27798612819,1872.1771847931523,2560.8809378953097,1.0291256139752385
28,2211,LV,EURO5,FJH25,12190.0,1846,"18, 21, 34, 37, 83, 737, 22, 612, 12, 13, 33, 3, 784, 2, 14, 81, 84, 888, 719, 736, 886, 711, 717, 611, 36, 704, 739, 616, 621, 722, 754, 35, 755, 760, 667, 718, 619, 753, 615, 740, 741","Public Bus, School Bus",3768230,23576.373,291291.44,3,21.37804505591401,10.805033787160204,23376.457373033,2033.751791453871,3132.1898617768984,0.9915205096658847
29,2212,LV,EURO5,FJH29,12190.0,1817,"3, 21, 22, 33, 34, 37, 14, 761, 83, 84, 888, 13, 760, 784, 2, 18, 12, 36, 755, 35, 617, 764, 612, 739, 736, 719, 81, 886, 712, 619, 611, 711, 754, 616, 743, 737, 740, 758, 745, 717, 769, 704, 621","Public Bus, School Bus",3418218,19794.85,240665.792,3,20.373517598439697,11.201409425931566,20344.8133414181,1769.9987607033747,2498.1164966504716,1.0277831527603443
30,2213,LV,EURO5,FJH38,12190.0,1408,"21, 22, 33, 34, 83, 14, 35, 2, 3, 18, 621, 737, 740, 612, 711, 717, 13, 739, 37, 736, 12, 755, 84, 761, 888, 886, 81, 741, 619, 36, 617, 764, 784, 762, 744, 704","Public Bus, School Bus",2600905,15241.596,189088.539,0,20.404457738104465,11.286267263399482,15492.32670905355,1347.832423687659,2005.5800891161873,1.0164504235024698
31,2214,LV,EURO5,FJU344,12190.0,1948,"14, 18, 21, 22, 740, 33, 34, 611, 3, 83, 717, 35, 37, 36, 12, 13, 612, 621, 737, 739, 711, 84, 616, 755, 81, 2, 667, 754, 888, 784, 718, 886, 722, 741, 719, 704, 743, 617, 619, 764, 736, 615, 760","Public Bus, School Bus",3590226,21622.464,272171.987,6,21.14307905725041,11.758560483979803,21884.461101305864,1903.9481158136105,2922.9173920979283,1.0121168938612113
32,2215,LV,EURO5,FJU351,12190.0,1727,"3, 13, 14, 21, 22, 83, 84, 739, 615, 18, 736, 33, 37, 740, 34, 12, 2, 744, 717, 711, 888, 35, 619, 755, 712, 81, 760, 784, 769, 741, 36, 754, 704, 616, 611, 737, 612, 621, 767, 745, 886, 28, 791, 742, 761, 718, 743","Public Bus, School Bus",3243908,19554.345,245001.531,3,20.84772760961827,11.614523491391711,19651.14130983459,1709.6492939556094,2635.3586269713137,1.0049501177275224
33,2216,LV,EURO5,FJU359,12190.0,1730,"3, 12, 13, 14, 35, 615, 22, 81, 83, 21, 84, 888, 33, 34, 2, 36, 736, 761, 755, 744, 712, 711, 739, 737, 760, 784, 18, 719, 612, 717, 722, 667, 37, 617, 764, 740, 886, 754, 745, 619, 621, 704, 769, 762","Public Bus, School Bus",3475121,20840.843,259794.978,16,20.259522878203427,11.371015356045595,20916.595697984245,1819.743825724629,2787.6201879599867,1.0036348192817461
34,2217,LV,EURO5,FKJ767,12190.0,1890,"3, 21, 22, 83, 84, 888, 12, 13, 14, 20, 615, 35, 37, 712, 744, 34, 761, 2, 18, 33, 711, 717, 753, 762, 754, 739, 769, 784, 81, 886, 36, 736, 704, 737, 612, 758, 741, 616, 611, 614, 667, 619, 760, 740","Public Bus, School Bus",3679530,23000.645,281842.203,1,21.573410228540105,11.10135883529783,22831.703972529947,1986.3582456101053,3012.004823747587,0.9926549439170053
35,2218,LV,EURO5,FKJ770,12190.0,1931,"2, 3, 14, 22, 36, 745, 12, 21, 81, 83, 784, 84, 888, 33, 711, 13, 739, 34, 18, 35, 617, 612, 755, 740, 741, 886, 616, 717, 37, 737, 704, 761, 615, 611, 736, 754, 667, 758, 744, 753, 619, 760, 28, 791, 719, 743, 621, 722, 762","Public Bus, School Bus",3566838,21178.774,242332.068,1,20.947447154206124,10.266738905154234,21479.665376288467,1868.7308877370965,2428.935133601365,1.0142072140855964
36,2219,LV,EURO5,FKJ777,12190.0,1891,"21, 22, 33, 35, 737, 739, 83, 612, 18, 740, 3, 12, 784, 81, 14, 13, 2, 761, 744, 37, 769, 711, 717, 34, 611, 621, 736, 743, 36, 760, 886, 754, 84, 888, 762, 755, 712, 616, 745, 20, 742, 722, 704, 615, 741","Public Bus, School Bus",3258652,21117.939,261820.88,4,18.145508169575557,10.995795092066475,19475.11659303499,1694.335143594044,2948.9574628674945,0.9222072567325339
37,2220,LV,EURO5,FLD103,12190.0,1751,"3, 12, 13, 14, 34, 83, 754, 21, 36, 18, 22, 736, 744, 35, 37, 81, 33, 84, 888, 886, 711, 717, 611, 2, 740, 612, 737, 739, 760, 784, 741, 704, 755, 767, 621, 616","Public Bus, School Bus",3313461,21420.404,271852.627,2,20.752988546270114,11.539434022850307,20676.8792401743,1798.8884938951644,3022.3132872471433,0.9652889478729861
