,Vehicle Number,Vehicle Type,Vehicle Emissions Standard,Vehicle Registration Number,TARE Weight (KG),Total Trips,Routes,Service Types,Total Running Time,Total In-Service KM,Total Passenger KM,Cancelled Trips Count,Average Speed,Average Occupancy,"Total CO2 Emissions, KG","Total Emissions Value, $","Total Emissions Savings, $",Emissions per VKT
48,2454,LV,EURO3,CQF860,9710.0,1458,"12, 21, 22, 33, 37, 743, 14, 18, 34, 13, 3, 81, 83, 722, 84, 761, 704, 615, 719, 740, 35, 739, 667, 744, 737, 711, 717, 616, 617, 888, 612, 764, 36, 736, 619, 741, 886, 742, 2, 755, 762, 621","Public Bus, School Bus",2941056,17669.641,216172.131,3,20.77241812139145,11.294299576427251,17672.972342200017,1537.5485937714016,2296.181006386291,1.0001885347981896
49,2455,LV,EURO3,CQM370,9710.0,1722,"14, 22, 619, 21, 704, 3, 83, 84, 740, 12, 13, 34, 36, 736, 18, 33, 35, 81, 719, 886, 754, 888, 615, 667, 769, 612, 739, 621, 611, 37, 761, 784, 2, 711, 760, 616, 741, 743, 753, 755, 742, 767, 614, 745","Public Bus, School Bus",3531147,21063.699,262045.954,2,20.96412580245711,11.252121337345287,21190.62010479301,1843.583949116992,2803.7002581676234,1.006025584812668
50,2456,LV,EURO3,CQM378,9710.0,1918,"14, 21, 711, 740, 3, 22, 33, 35, 754, 34, 617, 83, 764, 18, 84, 12, 13, 36, 745, 722, 755, 704, 615, 37, 739, 761, 719, 81, 741, 2, 737, 611, 612, 743, 667, 760, 784, 887, 886","Public Bus, School Bus",3468730,19702.138,260935.779,6,19.707997053098577,12.325914219041229,20425.419845705583,1777.0115265763857,2850.5841540736146,1.0367108303528065
51,2457,LV,EURO3,CRA209,9710.0,1418,"21, 22, 33, 83, 84, 13, 35, 81, 18, 2, 12, 3, 37, 743, 14, 740, 711, 612, 34, 617, 719, 736, 739, 667, 704, 36, 619, 764, 621, 887, 712, 888, 761, 614, 755, 784, 616, 737, 754","Public Bus, School Bus",2685086,15930.598,188508.111,3,19.868597292690605,11.228171450654676,15833.863975882741,1377.5461659017985,1965.5726795635862,0.9939277844989084
52,2458,LV,EURO3,CRA217,9710.0,1762,"13, 18, 21, 33, 34, 37, 83, 14, 22, 621, 612, 3, 754, 12, 81, 84, 35, 741, 762, 704, 736, 740, 719, 784, 616, 761, 711, 667, 619, 36, 615, 764, 739, 2, 617, 769, 888, 760, 768, 737, 743","Public Bus, School Bus",3880046,25337.749,333803.497,3,22.30727548626449,11.617581690243753,24300.670827026537,2114.158361951309,3805.7182713833067,0.9590698379333751
53,2459,LV,EURO3,CRJ104,9710.0,1914,"18, 21, 22, 33, 35, 36, 704, 34, 37, 2, 3, 12, 81, 83, 886, 84, 14, 741, 13, 764, 617, 619, 737, 740, 615, 612, 743, 736, 739, 719, 888, 711, 784, 742, 718, 667, 621, 745, 616, 761, 614","Public Bus, School Bus",1993863,23530.089,290334.517,1,12.119040720497322,10.775371126558813,12599.983745702513,1096.1985858761186,4052.7724059969587,0.5354838966271022
54,2460,LV,EURO3,CRJ107,9710.0,1736,"18, 21, 22, 33, 37, 83, 740, 2, 3, 12, 14, 34, 36, 736, 612, 13, 84, 616, 737, 35, 739, 611, 704, 81, 712, 741, 722, 719, 615, 711, 621, 667, 767, 784, 617, 764, 619, 761, 754, 718, 887, 888, 886, 758, 742, 760, 753, 755, 745","Public Bus, School Bus",3357450,19088.691,227035.938,0,20.359928457792506,11.473599730283532,19714.965325666777,1715.2019833330098,2311.193055582375,1.0328086575274742
55,2478,LV,EURO3,CTA880,9710.0,1515,"12, 14, 22, 83, 84, 3, 13, 34, 21, 617, 764, 33, 18, 81, 36, 704, 721, 754, 719, 739, 37, 667, 736, 35, 740, 761, 615, 888, 743, 612, 737, 619, 2, 784, 718, 886, 741, 722, 755, 767, 742, 762","Public Bus, School Bus",3099838,19567.81,252453.749,5,21.126736534532686,11.26814756461086,18982.992600493282,1651.5203562429156,2825.6497846763154,0.970113293234822
56,2479,LV,EURO3,CTA889,9710.0,1601,"12, 18, 21, 33, 34, 612, 83, 37, 22, 35, 737, 739, 3, 14, 84, 81, 36, 667, 736, 13, 760, 784, 888, 711, 741, 886, 761, 764, 617, 740, 704, 712, 742, 616, 621, 743, 2, 744, 718, 722, 719, 791, 769, 619","Public Bus, School Bus",3242300,19991.033,249858.609,3,21.182555731924875,10.850269474512263,19713.163062115647,1715.0451864040617,2716.1011447459387,0.986100271162358
57,2480,LV,EURO3,CTA891,9710.0,1409,"18, 621, 21, 22, 33, 35, 737, 739, 14, 616, 36, 83, 34, 81, 84, 3, 2, 13, 619, 617, 764, 736, 761, 791, 12, 37, 615, 740, 888, 760, 784, 704, 722, 755, 887, 741, 712, 667, 743, 612, 742, 754, 762, 769, 28, 611","Public Bus, School Bus",2775668,16382.403,206293.272,1,20.600679675359604,11.119853426008088,16581.34179241793,1442.5767359403599,2215.9550994134866,1.0121434439390808
58,2482,LV,EURO3,CTA898,9710.0,1538,"3, 13, 22, 34, 12, 14, 83, 84, 36, 736, 18, 21, 33, 35, 704, 741, 37, 722, 743, 745, 667, 760, 784, 754, 2, 761, 712, 744, 619, 617, 81, 886, 719, 621, 888, 615, 739, 616, 612, 769, 711, 740, 755, 887, 737, 764, 742, 717","Public Bus, School Bus",3174367,18095.157,218912.877,2,20.26406746825765,11.89408879869711,18677.57029079498,1624.9486152991635,2257.387061035452,1.0321861418939322
59,2483,LV,EURO3,CTP222,9710.0,1473,"21, 81, 83, 3, 12, 22, 33, 886, 13, 34, 84, 36, 14, 619, 2, 18, 612, 35, 736, 739, 754, 784, 719, 740, 888, 704, 745, 621, 37, 722, 760, 887, 755, 667, 611, 741, 791, 761, 615, 614, 616, 737, 711, 762","Public Bus, School Bus",2919178,16645.785,199183.898,3,20.07519189661501,10.731869509917939,17146.338706298295,1491.731467447952,2040.7183543905098,1.0300708982062603
60,2484,LV,EURO3,CTP226,9710.0,1507,"18, 21, 22, 33, 83, 84, 3, 12, 14, 13, 619, 34, 36, 736, 667, 704, 740, 81, 35, 741, 37, 739, 2, 760, 784, 755, 711, 722, 754, 615, 712, 886, 743, 719, 612, 737, 764, 888, 744, 761, 762, 28, 791, 769, 742","Public Bus, School Bus",3058048,18434.956,218609.868,0,20.728143212137795,10.724325687842969,18352.15606056884,1596.637577269489,2280.32435099205,0.9955085360967957
61,2485,LV,EURO3,CTP231,9710.0,1834,"22, 83, 21, 84, 3, 12, 81, 35, 13, 14, 886, 18, 740, 36, 704, 736, 619, 33, 737, 739, 621, 764, 712, 37, 784, 34, 667, 741, 722, 719, 711, 743, 612, 616, 718, 758, 760, 2, 761, 615, 742, 769, 745","Public Bus, School Bus",3896950,22845.385,297889.77,0,20.612451432462418,11.950365444475011,23303.787078856334,2027.4294758605013,3255.5310221010373,1.0200654127236786
62,2486,LV,EURO3,CTP237,9710.0,1553,"3, 21, 22, 33, 12, 14, 83, 84, 13, 36, 34, 742, 35, 737, 739, 18, 743, 704, 719, 711, 888, 744, 2, 667, 721, 619, 740, 616, 611, 37, 81, 718, 741, 614, 612, 755, 736, 784, 722, 615, 887, 760, 761, 754, 769, 621, 617, 764, 886","Public Bus, School Bus",3012900,16795.202,200957.067,4,19.899454752265065,11.597020912732633,17574.350626810512,1528.9685045325145,2034.92778753287,1.0463911435426922
63,2487,LV,EURO3,CTU881,9710.0,1439,"14, 18, 21, 22, 704, 736, 3, 34, 755, 13, 760, 784, 12, 36, 711, 719, 81, 83, 37, 667, 739, 33, 743, 35, 762, 84, 741, 621, 764, 611, 740, 617, 2, 612, 742, 758, 754, 767, 761, 737, 722, 769","Public Bus, School Bus",2711950,15487.886,200716.56,5,20.10719179858711,11.657216780495625,15992.761903786353,1391.3702856294128,2168.2607072936644,1.0325981159589084
64,2488,LV,EURO3,CTU882,9710.0,1660,"762, 3, 22, 83, 84, 888, 12, 14, 21, 34, 18, 33, 35, 13, 36, 37, 742, 615, 784, 761, 667, 704, 81, 740, 741, 754, 722, 736, 743, 737, 739, 719, 2, 711, 753, 760, 619, 764, 621, 612, 718, 617, 767, 755","School Bus, Public Bus",3185261,18168.74,226073.428,3,19.98049666543751,11.293221131742202,18783.3878527243,1634.154743187014,2375.1705510745246,1.0338299657942323
65,2494,LV,EURO3,CUU467,9710.0,1464,"14, 21, 33, 34, 81, 83, 741, 3, 84, 22, 12, 13, 36, 615, 35, 37, 754, 760, 18, 740, 667, 739, 761, 888, 737, 704, 762, 617, 764, 619, 736, 621, 711, 717, 784, 616, 744, 2, 612, 719, 722, 767, 745","Public Bus, School Bus",2961287,19122.099,242609.916,6,22.518071653340407,11.414903410318024,18492.779172662547,1608.8717880216418,2693.7217607322045,0.9670893960261658
66,2495,LV,EURO3,CUY420,9710.0,2164,"3, 14, 21, 33, 83, 616, 18, 22, 12, 13, 34, 36, 37, 81, 741, 84, 886, 35, 744, 615, 667, 711, 739, 742, 888, 719, 736, 740, 761, 755, 784, 704, 2, 722, 743, 760, 737, 619, 764, 718","Public Bus, School Bus",4415114,29306.476,382981.83,4,22.618226704645277,11.22272103217709,27813.575379809987,2419.781058043469,4372.254396302686,0.9490590195767649
67,2496,LV,EURO3,CWP442,9710.0,1913,"21, 22, 83, 3, 33, 34, 84, 886, 14, 81, 741, 12, 35, 36, 2, 18, 736, 711, 764, 704, 37, 743, 612, 740, 621, 737, 888, 13, 722, 887, 742, 755, 784, 667, 619, 767, 761, 617, 758, 753, 768, 754, 616, 739, 760, 615, 614","Public Bus, School Bus",3850330,24775.856,315530.185,7,21.78889774220672,11.430732608737697,23865.810320373483,2076.325497872493,3519.4809753390455,0.9632688501407775
68,2607,LV,EURO3,FBW749,10650.0,929,"3, 14, 21, 22, 711, 34, 83, 615, 754, 18, 740, 36, 37, 739, 12, 13, 81, 33, 736, 2, 84, 888, 712, 760, 784, 719, 35, 722, 761, 704, 742, 667, 753, 612, 737, 791, 617, 764, 621, 619","Public Bus, School Bus",1932555,10281.941,133335.041,2,19.154317669772446,12.814885143782313,11605.649660484256,1009.6915204621301,1354.9541489647931,1.1287411258714921
69,2608,LV,EURO3,FDD206,10650.0,1236,"2, 3, 12, 14, 22, 34, 755, 18, 21, 740, 81, 83, 84, 35, 37, 739, 33, 616, 764, 13, 886, 784, 737, 712, 736, 760, 612, 36, 745, 711, 888, 615, 791, 614, 761, 718, 719, 722, 28, 769, 767, 754, 667, 704","Public Bus, School Bus",2279578,12067.456,152357.201,1,19.15033679578288,12.090434193312788,13634.58513591065,1186.2089068242265,1515.7874539873121,1.1298640853474542
70,2609,LV,EURO3,FDD207,10650.0,1044,"3, 12, 14, 21, 742, 81, 83, 13, 28, 35, 791, 22, 18, 719, 33, 34, 2, 37, 753, 717, 737, 740, 36, 784, 615, 616, 761, 667, 754, 84, 888, 739, 711, 887, 755, 736, 718, 743, 769, 612, 722, 744, 886, 617, 764, 758, 619, 760","Public Bus, School Bus",1788791,11027.26,130306.644,2,22.374256974555816,11.695605583421818,11592.925754322141,1008.5845406260262,1302.353672773974,1.0512970361016374
71,2610,LV,EURO3,GAT976,10650.0,1017,"14, 83, 3, 12, 21, 22, 33, 35, 737, 739, 18, 621, 34, 612, 740, 784, 719, 36, 704, 13, 761, 712, 755, 84, 888, 2, 81, 886, 791, 37, 745, 768, 711, 767, 722, 667, 736","Public Bus, School Bus",1736415,9417.145,114813.521,1,20.065720512747994,11.618213969166872,10474.784444170455,911.3062466428295,1124.8673892456322,1.112309988236398
72,2611,LV,EURO3,FDD212,10650.0,1193,"14, 21, 22, 34, 83, 617, 764, 3, 35, 84, 12, 33, 36, 18, 762, 784, 37, 737, 740, 81, 719, 888, 711, 612, 722, 761, 614, 739, 736, 754, 13, 2, 611, 760, 615, 768, 745, 743, 28, 791, 621, 616, 704","Public Bus, School Bus",2249849,12284.194,145860.906,3,19.526606081217206,11.658682366626202,13607.627356453731,1183.8635800114746,1402.923487550064,1.107734651248078
73,3000,MV,EURO6,LNY928,7190.0,2243,"210, 25, 26, 27, 29, 673, 19, 677, 635, 24, 220, 226, 627, 734, 236, 440, 230, 430, 441, 681, 732, 634, 17, 23, 7, 731, 674, 444, 445, 1, 442, 465, 770, 39, 421","Public Bus, School Bus",4001492,28017.4,166679.545,22,25.182559475367626,5.669735092587104,20051.425399992502,1744.4740097993479,1211.5236132583448,0.7156775932096662
74,3001,MV,EURO6,LNF238,7190.0,3184,"29, 210, 220, 226, 440, 17, 23, 24, 27, 19, 726, 25, 685, 7, 26, 674, 734, 730, 230, 236, 441, 677, 444, 465, 421, 445, 429, 1, 430, 300","Public Bus, School Bus",5628297,39753.294,220667.784,21,25.567814258246436,5.260609801858594,28399.05406784857,2470.7177039028256,1442.7405731125593,0.7143824123819417
75,3002,MV,EURO6,LNF237,7190.0,3131,"24, 25, 7, 19, 17, 23, 27, 685, 770, 29, 730, 731, 1, 26, 210, 236, 440, 220, 441, 230, 226, 444, 421, 430, 674, 465, 732, 734, 726, 445, 677, 429","Public Bus, School Bus",5565607,39613.765,222820.625,18,26.19438449686928,5.205554953867984,28153.01244353548,2449.3120825875867,1502.3260015470287,0.7106876219297883
76,3003,MV,EURO6,LNF236,7190.0,2670,"112, 113, 114, 111, 115, 901, 953, 915, 935, 931, 916, 930, 121, 160, 170, 849, 130, 120, 154, 145","Public Bus, School Bus",3361657,29468.71,105151.4,1,32.887032008503,3.0341973937642757,19052.730812935624,1657.5875807253992,207.23205542844696,0.6465410536442086
77,3004,MV,EURO6,LMN395,7190.0,1475,"17, 19, 24, 27, 29, 726, 7, 23, 746, 25, 210, 220, 26, 236, 226, 230, 440, 430, 441, 625, 730, 445, 465, 444, 734, 681, 682, 677, 1, 654, 770, 421, 775, 300","Public Bus, School Bus",2699270,19003.236,117051.925,7,25.619619903665157,5.919376528655925,13574.785830108129,1181.0063672194071,894.8645026844391,0.7143407486024027
78,3005,MV,EURO6,LNY932,7190.0,3219,"220, 465, 19, 24, 7, 25, 210, 230, 236, 226, 734, 17, 23, 29, 27, 445, 674, 430, 440, 26, 726, 685, 775, 731, 677, 746, 1, 421, 441, 673, 444, 627, 625, 300, 429","Public Bus, School Bus",5510059,40148.426,221168.205,41,25.037120443834677,5.217587681979698,27859.017783271138,2423.734547144589,1498.5985038361803,0.6939006222378715
79,3006,MV,EURO6,LNY927,7190.0,3758,"19, 25, 26, 674, 17, 27, 220, 226, 230, 236, 444, 24, 29, 210, 23, 7, 445, 673, 440, 1, 441, 682, 465, 734, 726, 730, 39, 677, 430, 421, 625, 770, 685, 634","Public Bus, School Bus",6623545,47169.769,270025.512,6,25.068923999460786,5.339425051079158,33098.64451763217,2879.582073033999,1909.2165263198472,0.7016918933317687
80,3007,MV,EURO6,LNY931,7190.0,2784,"112, 114, 111, 115, 113, 901, 930, 915, 935, 130, 150, 953, 931, 154, 121, 160, 170, 120, 145, 828, 848, 110","Public Bus, School Bus",3594544,32062.266,114737.776,1,31.714223501203055,3.125170100757623,20295.326225960947,1765.6933816586024,269.1369457875514,0.6329972505985992
81,3008,MV,EURO6,LNY926,7190.0,1298,"115, 111, 112, 114, 916, 113, 915, 901, 931, 121, 929, 930, 130, 120, 160, 145, 170, 848, 154, 853, 150","Public Bus, School Bus",1744309,15778.763,60160.434,1,31.078342288000997,3.318672078005575,9814.192125598096,853.8347149270342,213.08744343450437,0.62198742230922
82,3009,MV,EURO6,LNY929,7190.0,2451,"220, 226, 230, 236, 19, 23, 24, 25, 29, 7, 210, 26, 27, 17, 440, 445, 681, 429, 441, 734, 465, 1, 444, 674, 677, 730, 430, 421, 685, 625, 770","Public Bus, School Bus",4412060,31356.265,166581.06,27,25.58361423858411,4.944874038649713,22119.68820919028,1924.4128741995544,1029.8381552619842,0.7054312179460877
83,3010,MV,EURO6,LNY925,7190.0,2347,"112, 113, 114, 115, 111, 931, 901, 930, 935, 915, 953, 916, 121, 120, 145, 130, 160, 170, 848, 154, 853, 150, 852, 843, 866, 874, 849, 868, 854, 855","Public Bus, School Bus",3682411,31917.573,151817.262,7,31.442215636924658,4.083458227322285,20687.55334479807,1799.8171409974318,892.6036093179529,0.6481555895493079
84,3011,MV,EURO6,LNY923,7190.0,2410,"113, 115, 931, 112, 114, 111, 901, 915, 121, 930, 953, 130, 170, 828, 874, 866, 120, 145, 150, 154, 160, 868, 823, 848, 843, 855, 853, 110, 860, 852","Public Bus, School Bus",3457549,30542.651,130317.379,4,32.27417200696995,3.5703773310732476,19534.723363997706,1699.5209326678005,611.6076618283536,0.6395883371092347
85,3012,MV,EURO6,LNY930,7190.0,3682,"210, 220, 226, 230, 236, 7, 19, 27, 24, 25, 29, 441, 430, 26, 17, 444, 1, 23, 730, 734, 726, 775, 685, 731, 677, 465, 674, 680, 445, 440, 776, 770, 39, 421, 300, 633, 442","Public Bus, School Bus",6870174,47323.679,280813.37,6,25.095356518771577,5.51155140572327,34204.5837384292,2975.7987852433407,2004.3183265643518,0.7227794723742675
86,3013,MV,EURO6,LPT954,7190.0,2792,"112, 114, 115, 111, 113, 931, 915, 930, 901, 953, 935","Public Bus, School Bus",3367365,31501.595,106968.702,2,30.388529969254453,2.955303033781007,19066.271899216048,1658.7656552317962,238.2831329297423,0.6052478263153357
87,3014,MV,EURO6,LQZ276,7190.0,3321,"19, 24, 26, 27, 17, 23, 25, 29, 7, 674, 731, 220, 210, 230, 226, 236, 1, 39, 441, 682, 421, 444, 680, 677, 465, 634, 440, 429, 646, 734, 430, 445, 442, 770","Public Bus, School Bus",5954547,41468.648,233307.748,15,25.318303823061495,5.360941551437595,29746.60463840709,2587.954603541417,1549.6685734893529,0.717327573312906
88,3015,MV,EURO6,LQZ275,7190.0,847,"309, 313, 200, 201, 202, 203, 206, 204, 366, 315","School Bus, Public Bus",1446291,20511.823,194546.694,0,41.05863439678123,10.470322183771753,11176.61922162298,972.3658722811992,2477.8449201572625,0.5448866842124651
89,3100,MV,EURO6,LLY307,7560.0,3058,"120, 130, 145, 160, 170, 110, 150, 154, 121, 828, 860, 848, 855, 853, 874, 852, 953, 866, 849, 823, 868, 854, 843","Public Bus, School Bus",6081873,52594.98,293297.566,6,30.953973037338713,5.3551504286912275,35025.83498389782,3047.2476435991102,2154.271882654736,0.665953955755812
90,3101,MV,EURO6,LHG22,7560.0,1583,"200, 201, 202, 203, 206, 204, 313, 315, 309, 366","Public Bus, School Bus",2780885,37535.138,244151.625,0,36.90722192775598,5.0087081920773295,21562.42804861715,1875.9312402296916,2454.003924674155,0.5744598047998958
91,3102,MV,EURO6,LHG28,7560.0,916,"204, 313, 315, 200, 366, 201, 202, 203, 206, 309","Public Bus, School Bus",1904424,29211.814000000002,195531.441,0,43.81104319718842,5.964272337195482,16173.847205295644,1407.124706860721,2060.5501948738947,0.5536748661105279
92,3103,MV,EURO6,LHG21,7560.0,1307,"200, 313, 201, 202, 203, 206, 309, 204, 315, 366","Public Bus, School Bus",2674816,36678.98,270882.118,0,40.06357213861874,5.701963744456498,20770.704842355288,1807.0513212849103,2996.93885601509,0.5662836000988928
93,3104,MV,EURO6,LHG29,7560.0,1558,"200, 309, 201, 202, 203, 206, 313, 204, 315","Public Bus, School Bus",2249354,31773.255,238834.66,0,38.24750004921536,5.436306902911026,18002.53245665759,1566.2203237292106,2669.420511886174,0.5665938997014184
94,3106,MV,EURO6,LHG36,7560.0,1442,"23, 25, 1, 7, 29, 17, 24, 27, 731, 730, 734, 210, 220, 441, 226, 230, 236, 444, 19, 26, 674, 465, 445, 430, 685, 39, 775, 677, 204, 315, 313, 200","Public Bus, School Bus",2595182,18275.983,110517.012,5,25.973544089500184,5.64973254669739,13370.460042886063,1163.2300237310876,796.7466775458356,0.7315863690005655
95,3107,MV,EURO6,LHG31,7560.0,1288,"19, 25, 210, 220, 236, 226, 230, 24, 29, 465, 1, 39, 674, 444, 17, 23, 441, 7, 430, 440, 677, 634, 421, 445, 681, 27, 734, 731, 730, 26, 746, 770, 442","Public Bus, School Bus",2365557,16353.718,87634.572,6,25.1204483205542,5.045859440097512,12004.616363529536,1044.4016236270695,509.7638051883151,0.7340603747435008
96,3108,MV,EURO6,LHG32,7560.0,759,"25, 734, 17, 19, 23, 24, 230, 465, 210, 220, 226, 440, 236, 421, 430, 444, 29, 445, 27, 441, 1","Public Bus, School Bus",1241564,9104.869,52744.674,1,27.299855875439746,5.448473727511539,6529.1434863739405,568.0354833145328,367.3710236623903,0.7171046048409856
97,3109,MV,EURO6,LHG33,7560.0,2220,"120, 145, 154, 160, 853, 170, 130, 150, 854, 121, 852, 843, 849, 860, 931, 111, 112, 114, 915, 113, 115, 868, 953, 828, 855, 110, 874, 866, 848","Public Bus, School Bus",4579452,39301.658,238083.755,4,30.5269881223724,5.869014538631983,26299.77765148744,2288.0806556794073,1934.2431685705928,0.6691773067560518
98,3110,MV,EURO6,LHG34,7560.0,3607,"120, 130, 150, 154, 160, 121, 145, 170, 848, 854, 860, 823, 866, 874, 849, 853, 111, 931, 113, 115, 868, 852, 843, 828, 953, 855","Public Bus, School Bus",7538970,63549.512,365680.117,10,30.39671189326101,5.5660855758547045,42953.41006121854,3736.9466753260126,2748.2495534701416,0.6759046404828182
99,3111,MV,EURO6,LHG35,7560.0,953,"25, 734, 7, 24, 29, 27, 210, 220, 230, 236, 226, 444, 17, 19, 23, 674, 26, 1, 731, 445, 682, 430, 440, 465, 421, 441, 730","Public Bus, School Bus",1885002,12446.998,72984.893,5,23.923433769772956,5.615241003009005,9317.866680523113,810.6544012055108,483.704605036797,0.7486035331991789
100,3112,MV,EURO6,LHG27,7560.0,2494,"120, 145, 154, 130, 150, 121, 160, 853, 170, 860, 866, 849, 848, 854, 852, 953, 111, 931, 113, 115, 823, 110, 855, 874, 843, 828","Public Bus, School Bus",5060285,44424.001000000004,266568.742,5,29.201529291561627,5.794469839675402,28907.91521241475,2514.988623480084,2212.5054894506857,0.650727412247599
101,3113,MV,EURO6,LJB885,7560.0,2979,"111, 112, 114, 115, 901, 113, 953, 935, 915, 930, 929, 120, 145, 150, 951, 121, 130","Public Bus, School Bus",3145056,31634.368,104881.839,9,27.08391290705885,3.2412918051599924,17972.311536392608,1563.5911036661566,296.4479718299973,0.568126144843248
102,3114,MV,EURO6,LJB888,7560.0,3778,"120, 145, 160, 130, 150, 154, 170, 843, 121, 110, 866, 828, 860, 868, 874, 854, 849, 852, 853, 953, 823, 855, 848","Public Bus, School Bus",7225340,67223.799,398106.694,6,28.564172286460266,5.721394476421994,41611.24687637212,3620.178478244374,3440.090621886395,0.6189957648238851
103,3115,MV,EURO6,LJB891,7560.0,3151,"160, 170, 866, 868, 120, 154, 853, 874, 110, 130, 150, 121, 145, 854, 849, 843, 852, 953, 855, 823, 848, 860, 828","Public Bus, School Bus",6588721,56079.189,324892.442,5,30.6165275352974,5.689239187898363,37781.22399443292,3286.966487515664,2474.876012722798,0.6737120252297679
104,3116,MV,EURO6,LJB867,7560.0,3675,"130, 121, 120, 145, 150, 170, 854, 154, 160, 853, 823, 953, 111, 931, 112, 114, 115, 113, 866, 849, 868, 874, 860, 843, 848, 852, 828, 855","Public Bus, School Bus",7632712,64130.661,369216.115,9,30.009463667212724,5.544365966113918,43315.5533823597,3768.4531442652933,2779.45264906163,0.6754265854574569
105,3117,MV,EURO6,LJB890,7560.0,3333,"120, 130, 150, 154, 170, 854, 121, 145, 160, 853, 823, 828, 860, 866, 849, 110, 855, 868, 874, 852, 848, 843, 931","Public Bus, School Bus",6953531,61714.299,363298.247,15,30.230851827797718,5.687735492304363,40154.81831923959,3493.4691937738444,2949.4854866761557,0.6506566382490967
106,3118,MV,EURO6,LJB866,7560.0,3030,"120, 130, 145, 154, 852, 953, 150, 170, 121, 160, 853, 848, 843, 849, 828, 874, 866, 110, 854, 860, 868, 823, 911, 855","Public Bus, School Bus",5899102,53023.375,305717.141,10,29.723231347664886,5.58527694742331,33994.34468075177,2957.507987225404,2464.2679248938266,0.641119971724768
107,3119,MV,EURO6,LJB868,7560.0,2784,"120, 170, 849, 130, 145, 852, 121, 150, 154, 160, 860, 855, 868, 853, 854, 843, 848, 953, 866, 828, 823, 110, 874","Public Bus, School Bus",4312839,50644.31,303552.247,7,26.169683372035443,5.787542370158489,26904.634593474646,2340.703209632294,3042.6791400484753,0.5312469375824184
108,3120,MV,EURO6,LJB869,7560.0,3941,"120, 130, 150, 121, 170, 849, 154, 160, 145, 853, 866, 854, 828, 852, 953, 110, 823, 848, 868, 855, 843, 874, 860","Public Bus, School Bus",8198523,69560.336,394109.075,14,30.57390132707213,5.486356707405886,46814.59863341834,4072.8700811073954,2916.5027836041436,0.6730070802622107
109,3121,MV,EURO6,LJB894,7560.0,3543,"849, 130, 150, 154, 170, 120, 145, 160, 848, 121, 854, 853, 828, 852, 953, 843, 866, 868, 874, 110, 860, 823, 855","School Bus, Public Bus",7349768,62720.976,368778.509,11,30.302698782293948,5.701283245864485,42054.26308412382,3658.7208883187723,2881.4241309081513,0.6704975873481914
110,3122,MV,EURO6,LJB895,7560.0,3071,"220, 226, 230, 236, 24, 210, 19, 430, 25, 26, 27, 29, 673, 7, 17, 465, 444, 23, 421, 734, 677, 441, 674, 429, 440, 442, 732, 1, 445","Public Bus, School Bus",4976171,38034.449,197038.512,11,26.935765152100625,4.9026012498981055,26747.412626300782,2327.0248984881678,1167.3773277887553,0.7032417539767905
111,3123,MV,EURO6,LJB887,7560.0,3253,"121, 120, 130, 150, 154, 145, 160, 170, 854, 866, 853, 874, 855, 112, 113, 931, 115, 953, 828, 849, 852, 823, 843, 868, 860, 848, 110","Public Bus, School Bus",6861997,60865.639,353641.017,9,29.463601058639487,5.680545127721675,39356.21701291083,3423.990880123242,2847.696540595989,0.6466081299649351
112,3124,MV,EURO6,LJB889,7560.0,3643,"150, 160, 170, 130, 120, 121, 823, 154, 145, 849, 868, 853, 110, 114, 931, 111, 112, 115, 113, 866, 828, 855, 852, 953, 854, 848, 860, 874, 843","Public Bus, School Bus",7701053,65058.664000000004,382952.595,2,30.579846672543354,5.7392461050378705,43952.53547522152,3823.8705863442724,2967.646396521113,0.6755831241050618
113,3125,MV,EURO6,LJB892,7560.0,2667,"120, 121, 145, 160, 823, 866, 868, 130, 150, 170, 154, 874, 854, 860, 828, 853, 110, 848, 843, 849","Public Bus, School Bus",5599165,47266.714,265031.695,12,30.12087155351012,5.468918827548293,31781.90678458373,2765.025890258785,1935.2092852989076,0.6723950978395438
114,3126,MV,EURO6,LJB893,7560.0,3779,"120, 130, 150, 170, 849, 154, 843, 145, 160, 121, 852, 953, 848, 854, 868, 853, 866, 860, 110, 828, 855, 874, 823","Public Bus, School Bus",7323247,67139.387,379944.774,6,27.98527772115321,5.475957419469349,41783.753686301396,3635.1865707082216,3102.987863576394,0.6223433896752943
115,3127,MV,EURO6,LJB870,7560.0,2248,"7, 17, 19, 24, 27, 29, 734, 775, 25, 210, 220, 230, 236, 445, 465, 226, 421, 441, 440, 23, 26, 444, 1, 430, 673, 625, 300, 674, 442","Public Bus, School Bus",3898436,28156.031,148929.28,43,25.6985332201643,4.925632905350717,20109.377648104517,1749.5158553850931,891.6876449225994,0.7142120865012728
116,3128,MV,EURO6,LKA248,7560.0,2676,"111, 112, 115, 935, 114, 113, 953, 915, 931, 930, 130, 901, 110","Public Bus, School Bus",3237048,28513.069,99155.291,4,33.06420671897523,3.4118774432186063,18652.041787743783,1622.7276355337092,135.75331370090626,0.6541576351442134
117,3129,MV,EURO6,LKA249,7560.0,1532,"120, 145, 130, 160, 170, 121, 150, 866, 110, 855, 849, 154, 852, 828, 868, 953, 848, 874, 823, 860, 843, 853","Public Bus, School Bus",2916319,27434.817,170890.112,6,29.175859999976925,5.913650076203075,17089.47694577893,1486.784494282767,1543.8859150710796,0.6229120079707086
