Date Modified,Vehicle Number,Operator,Operator Short Code,Operator Prefix,Unit Number,Mode,Date of First Registration,Date of Manufacture,Bike Rack Capable,Bus Size,Engine Rating,"Max no. of passengers (Seated, Adult)","Max no. of passengers (Standing, Adult)",No. of Wheelchair Spaces,TARE Weight (KG),Vehicle Registration Number,source_filename
23/07/2018,2453,NZ Bus,NZB,NBM,Unit_02,Bus,29/04/2005,29/04/2005,Yes,LV,EURO3,51,24,1,9710,CQF853,2018-07-23_fleet-list.csv
23/07/2018,2454,NZ Bus,NZB,NBM,Unit_02,Bus,6/05/2005,6/05/2005,Yes,LV,EURO3,51,24,1,9710,CQF860,2018-07-23_fleet-list.csv
23/07/2018,2455,NZ Bus,NZB,NBM,Unit_02,Bus,9/05/2005,9/05/2005,Yes,LV,EURO3,51,24,1,9710,CQM370,2018-07-23_fleet-list.csv
23/07/2018,2456,NZ Bus,NZB,NBM,Unit_02,Bus,11/05/2005,11/05/2005,Yes,LV,EURO3,51,24,1,9710,CQM378,2018-07-23_fleet-list.csv
23/07/2018,2457,NZ Bus,NZB,NBM,Unit_02,Bus,13/05/2005,13/05/2005,Yes,LV,EURO3,51,24,1,9710,CRA209,2018-07-23_fleet-list.csv
23/07/2018,2458,NZ Bus,NZB,NBM,Unit_02,Bus,18/05/2005,18/05/2005,Yes,LV,EURO3,51,24,1,9710,CRA217,2018-07-23_fleet-list.csv
23/07/2018,2459,NZ Bus,NZB,NBM,Unit_02,Bus,18/05/2005,18/05/2005,Yes,LV,EURO3,51,24,1,9710,CRJ104,2018-07-23_fleet-list.csv
23/07/2018,2460,NZ Bus,NZB,NBM,Unit_02,Bus,19/05/2005,19/05/2005,Yes,LV,EURO3,51,24,1,9710,CRJ107,2018-07-23_fleet-list.csv
23/07/2018,2478,NZ Bus,NZB,NBM,Unit_02,Bus,7/07/2005,7/07/2005,Yes,LV,EURO3,51,24,1,9710,CTA880,2018-07-23_fleet-list.csv
23/07/2018,2479,NZ Bus,NZB,NBM,Unit_02,Bus,12/07/2005,12/07/2005,Yes,LV,EURO3,51,24,1,9710,CTA889,2018-07-23_fleet-list.csv
23/07/2018,2480,NZ Bus,NZB,NBM,Unit_02,Bus,12/07/2005,12/07/2005,Yes,LV,EURO3,51,24,1,9710,CTA891,2018-07-23_fleet-list.csv
23/07/2018,2482,NZ Bus,NZB,NBM,Unit_02,Bus,14/07/2005,14/07/2005,Yes,LV,EURO3,51,24,1,9710,CTA898,2018-07-23_fleet-list.csv
23/07/2018,2483,NZ Bus,NZB,NBM,Unit_02,Bus,15/07/2005,15/07/2005,Yes,LV,EURO3,51,24,1,9710,CTP222,2018-07-23_fleet-list.csv
23/07/2018,2484,NZ Bus,NZB,NBM,Unit_02,Bus,19/07/2005,19/07/2005,Yes,LV,EURO3,51,24,1,9710,CTP226,2018-07-23_fleet-list.csv
23/07/2018,2485,NZ Bus,NZB,NBM,Unit_02,Bus,19/07/2005,19/07/2005,Yes,LV,EURO3,51,24,1,9710,CTP231,2018-07-23_fleet-list.csv
23/07/2018,2486,NZ Bus,NZB,NBM,Unit_02,Bus,21/07/2005,21/07/2005,Yes,LV,EURO3,51,24,1,9710,CTP237,2018-07-23_fleet-list.csv
23/07/2018,2487,NZ Bus,NZB,NBM,Unit_02,Bus,22/07/2005,22/07/2005,Yes,LV,EURO3,51,24,1,9710,CTU881,2018-07-23_fleet-list.csv
23/07/2018,2488,NZ Bus,NZB,NBM,Unit_02,Bus,22/07/2005,22/07/2005,Yes,LV,EURO3,51,24,1,9710,CTU882,2018-07-23_fleet-list.csv
23/07/2018,2494,NZ Bus,NZB,NBM,Unit_02,Bus,27/08/2005,27/08/2005,Yes,LV,EURO3,51,24,1,9710,CUU467,2018-07-23_fleet-list.csv
23/07/2018,2495,NZ Bus,NZB,NBM,Unit_02,Bus,28/08/2005,28/08/2005,Yes,LV,EURO3,51,24,1,9710,CUY420,2018-07-23_fleet-list.csv
23/07/2018,2496,NZ Bus,NZB,NBM,Unit_02,Bus,28/08/2005,28/08/2005,Yes,LV,EURO3,51,24,1,9710,CWP442,2018-07-23_fleet-list.csv
23/07/2018,2601,NZ Bus,NZB,NBM,Unit_06,Bus,8/10/2009,8/10/2009,No,LV81,EURO3,38,46,1,10650,FBW730,2018-07-23_fleet-list.csv
23/07/2018,2602,NZ Bus,NZB,NBM,Unit_06,Bus,8/10/2009,8/10/2009,No,LV81,EURO3,38,46,1,10650,FBW731,2018-07-23_fleet-list.csv
23/07/2018,2603,NZ Bus,NZB,NBM,Unit_06,Bus,8/10/2009,8/10/2009,No,LV81,EURO3,38,46,1,10650,FBW732,2018-07-23_fleet-list.csv
23/07/2018,2604,NZ Bus,NZB,NBM,Unit_06,Bus,13/10/2009,13/10/2009,No,LV81,EURO3,38,46,1,10650,FBW746,2018-07-23_fleet-list.csv
23/07/2018,2605,NZ Bus,NZB,NBM,Unit_12,Bus,13/10/2009,,No,LV81,EURO3,38,51,1,10060,FBW747,2018-07-23_fleet-list.csv
23/07/2018,2606,NZ Bus,NZB,NBM,Unit_12,Bus,13/10/2009,,No,LV81,EURO3,38,51,1,10060,FBW748,2018-07-23_fleet-list.csv
23/07/2018,2607,NZ Bus,NZB,NBM,Unit_06,Bus,13/10/2009,13/10/2009,No,LV81,EURO3,38,46,1,10650,FBW749,2018-07-23_fleet-list.csv
23/07/2018,2608,NZ Bus,NZB,NBM,Unit_06,Bus,4/11/2009,4/11/2009,No,LV81,EURO3,38,46,1,10650,FDD206,2018-07-23_fleet-list.csv
