service_id,service_name,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
WKO00_S_20220326_20220326,00_Te_Huia_Saturdays (Saturday only),0,0,0,0,0,1,0,20220326,20220326
WKO00_S_20220319_20220319,00_Te_Huia_Saturdays (Saturday only),0,0,0,0,0,1,0,20220319,20220319
WKO00_S_20220312_20220312,00_Te_Huia_Saturdays (Saturday only),0,0,0,0,0,1,0,20220312,20220312
WKO00_S_20220129_20220129,00_Te_Huia_Saturdays (Saturday only),0,0,0,0,0,1,0,20220129,20220129
WKO00_S_20220212_20220212,00_Te_Huia_Saturdays (Saturday only),0,0,0,0,0,1,0,20220212,20220212
WKO00_S_20220219_20220219,00_Te_Huia_Saturdays (Saturday only),0,0,0,0,0,1,0,20220219,20220219
WKO00_S_20220205_20220205,00_Te_Huia_Saturdays (Saturday only),0,0,0,0,0,1,0,20220205,20220205
WKO00_S_20220226_20220226,00_Te_Huia_Saturdays (Saturday only),0,0,0,0,0,1,0,20220226,20220226
WKO00_S_20220305_20220305,00_Te_Huia_Saturdays (Saturday only),0,0,0,0,0,1,0,20220305,20220305
WKO00_MTWThF_20220124_20240309,00_Te_Huia_Year_Round (Strand Extension) (Weekday),1,1,1,1,1,0,0,20220124,20240309
WKO00_MTWThF_20220709_20220724_2,00_Secondary School Terms Holidays (Weekday),1,1,1,1,1,0,0,20220709,20220724
WKO00_MTWThF_20221001_20221016_2,00_Secondary School Terms Holidays (Weekday),1,1,1,1,1,0,0,20221001,20221016
WKO00_MTWThF_20220416_20220501_2,00_Secondary School Terms Holidays (Weekday),1,1,1,1,1,0,0,20220416,20220501
WKO00_MTWThF_20211221_20220131,00_Secondary School Terms Holidays (Weekday),1,1,1,1,1,0,0,20211221,20220131
WKO00_MTWThF_20221017_20221220_3,00_Secondary School Terms (Weekday),1,1,1,1,1,0,0,20221017,20221220
WKO00_MTWThF_20220725_20220930_3,00_Secondary School Terms (Weekday),1,1,1,1,1,0,0,20220725,20220930
WKO00_MTWThF_20220502_20220708_3,00_Secondary School Terms (Weekday),1,1,1,1,1,0,0,20220502,20220708
WKO00_MTWThF_20220201_20220414_3,00_Secondary School Terms (Weekday),1,1,1,1,1,0,0,20220201,20220414
WKO00_MTWThF_20211018_20211217_2,00_Secondary School Terms (Weekday),1,1,1,1,1,0,0,20211018,20211217
WKO00_Su_20220201_20260312,00_Year_Round_A_Aug_A_Christmas (Sunday only),0,0,0,0,0,0,1,20220201,20260312
WKO00_S_20220201_20260312,00_Year_Round_A_Aug_A_Christmas (Saturday only),0,0,0,0,0,1,0,20220201,20260312
WKO00_MTWThF_20220201_20260312,00_Year_Round_A_Aug_A_Christmas (Weekday),1,1,1,1,1,0,0,20220201,20260312
WKO00_Su_20211129_20211219_1,00_Year_Round_A_Aug_A_Christmas (Sunday only),0,0,0,0,0,0,1,20211129,20211219
WKO00_S_20211129_20211219_1,00_Year_Round_A_Aug_A_Christmas (Saturday only),0,0,0,0,0,1,0,20211129,20211219
WKO00_MTWThF_20211129_20211219_1,00_Year_Round_A_Aug_A_Christmas (Weekday),1,1,1,1,1,0,0,20211129,20211219
WKO00_TF_20210701_20250808,00_Mangakino_Tokoroa_ (TuF),0,1,0,0,1,0,0,20210701,20250808
WKO00_MTWThF_20211220_20220129,00_Summer School Holidays (Before 1st Feb) (Weekday),1,1,1,1,1,0,0,20211220,20220129
WKO00_SSu_20211023_20220131,00_Labour Weekend to Easter Weekend (Ends 31st Jan) (Weekend),0,0,0,0,0,1,1,20211023,20220131
WKO00_W_20221214_20221214,00_Mangakino_Taupo (Wednesday only),0,0,1,0,0,0,0,20221214,20221214
WKO00_W_20221130_20221130,00_Mangakino_Taupo (Wednesday only),0,0,1,0,0,0,0,20221130,20221130
WKO00_W_20221116_20221116,00_Mangakino_Taupo (Wednesday only),0,0,1,0,0,0,0,20221116,20221116
WKO00_W_20221102_20221102,00_Mangakino_Taupo (Wednesday only),0,0,1,0,0,0,0,20221102,20221102
WKO00_W_20221019_20221019,00_Mangakino_Taupo (Wednesday only),0,0,1,0,0,0,0,20221019,20221019
WKO00_W_20221005_20221005,00_Mangakino_Taupo (Wednesday only),0,0,1,0,0,0,0,20221005,20221005
WKO00_W_20220921_20220921,00_Mangakino_Taupo (Wednesday only),0,0,1,0,0,0,0,20220921,20220921
WKO00_W_20220907_20220907,00_Mangakino_Taupo (Wednesday only),0,0,1,0,0,0,0,20220907,20220907
WKO00_W_20220824_20220824,00_Mangakino_Taupo (Wednesday only),0,0,1,0,0,0,0,20220824,20220824
WKO00_W_20220810_20220810,00_Mangakino_Taupo (Wednesday only),0,0,1,0,0,0,0,20220810,20220810
WKO00_W_20220727_20220727,00_Mangakino_Taupo (Wednesday only),0,0,1,0,0,0,0,20220727,20220727
WKO00_W_20220713_20220713,00_Mangakino_Taupo (Wednesday only),0,0,1,0,0,0,0,20220713,20220713
WKO00_W_20220629_20220629,00_Mangakino_Taupo (Wednesday only),0,0,1,0,0,0,0,20220629,20220629
WKO00_W_20220601_20220601,00_Mangakino_Taupo (Wednesday only),0,0,1,0,0,0,0,20220601,20220601
WKO00_W_20220615_20220615,00_Mangakino_Taupo (Wednesday only),0,0,1,0,0,0,0,20220615,20220615
WKO00_W_20220518_20220518,00_Mangakino_Taupo (Wednesday only),0,0,1,0,0,0,0,20220518,20220518
WKO00_W_20220504_20220504,00_Mangakino_Taupo (Wednesday only),0,0,1,0,0,0,0,20220504,20220504
WKO00_W_20220420_20220420,00_Mangakino_Taupo (Wednesday only),0,0,1,0,0,0,0,20220420,20220420
WKO00_W_20220406_20220406,00_Mangakino_Taupo (Wednesday only),0,0,1,0,0,0,0,20220406,20220406
WKO00_W_20220112_20220112,00_Mangakino_Taupo (Wednesday only),0,0,1,0,0,0,0,20220112,20220112
WKO00_W_20220209_20220209,00_Mangakino_Taupo (Wednesday only),0,0,1,0,0,0,0,20220209,20220209
WKO00_W_20220323_20220323,00_Mangakino_Taupo (Wednesday only),0,0,1,0,0,0,0,20220323,20220323
WKO00_W_20220223_20220223,00_Mangakino_Taupo (Wednesday only),0,0,1,0,0,0,0,20220223,20220223
WKO00_W_20220126_20220126,00_Mangakino_Taupo (Wednesday only),0,0,1,0,0,0,0,20220126,20220126
WKO00_W_20220309_20220309,00_Mangakino_Taupo (Wednesday only),0,0,1,0,0,0,0,20220309,20220309
WKO00_W_20211215_20211215,00_Mangakino_Taupo (Wednesday only),0,0,1,0,0,0,0,20211215,20211215
